Year,Country,Pais_Lat_Long,Sex,Fatal (Y/N),href formula
2018,USA,"39.7837304,-100.445882",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf
2018,USA,"39.7837304,-100.445882",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf
2018,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf
2018,MEXICO,"23.6585116,-102.0077097",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf
2018,BRAZIL,"-10.3333333,-53.2",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf
2018,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf
2018,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf
2018,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf
2018,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf
2018,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf
2018,ENGLAND,"52.5310214,-1.2649062",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf
2018,AUSTRALIA,"-24.7761086,134.755",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf
2018,SOUTH AFRICA,"-28.8166236,24.991639",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf
2018,THAILAND,"14.8971921,100.83273",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf
2018,COSTA RICA,"10.2735633,-84.0739102",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf
2018,MALDIVES,"3.7203503,73.2244152",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf
2018,SOUTH AFRICA,"-28.8166236,24.991639",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf
2018,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf
2018,THAILAND,"14.8971921,100.83273",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf
2018,BRAZIL,"-10.3333333,-53.2",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf
2018,BAHAMAS,"24.7736546,-78.0000547",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff
2018,BRAZIL,"-10.3333333,-53.2",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf
2018,NEW CALEDONIA,"-21.3019905,165.4880773",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf
2018,BAHAMAS,"24.7736546,-78.0000547",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf
2018,SOUTH AFRICA,"-28.8166236,24.991639",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf
2018,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf
2018,SOUTH AFRICA,"-28.8166236,24.991639",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf
2018,AUSTRALIA,"-24.7761086,134.755",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf
2018,AUSTRALIA,"-24.7761086,134.755",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf
2018,BRAZIL,"-10.3333333,-53.2",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf
2018,ECUADOR,"-1.3397668,-79.3666965",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf
2018,NEW CALEDONIA,"-21.3019905,165.4880773",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf
2018,BRAZIL,"-10.3333333,-53.2",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf
2018,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf
2017,USA,"39.7837304,-100.445882",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf
2017,USA,"39.7837304,-100.445882",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf
2017,MALAYSIA,"4.5693754,102.2656823",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf
2017,BAHAMAS,"24.7736546,-78.0000547",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf
2017,COSTA RICA,"10.2735633,-84.0739102",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf
2017,COSTA RICA,"10.2735633,-84.0739102",F,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf
2017,LIBYA,"26.8234472,18.1236723",NO INF,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.25.R-Libya.pdf
2017,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf
2017,USA,"39.7837304,-100.445882",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf
2017,HIGH SEAS,"29.870151,-93.922369",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13.R-Timur.pdf
2017,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf
2017,CUBA,"23.0131338,-80.8328748",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf
2017,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf
2017,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf
2017,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.26-Oahu.pdf
2017,MAURITIUS,"-20.2759451,57.5703566",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf
2017,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf
2017,USA,"39.7837304,-100.445882",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf
2017,AUSTRALIA,"-24.7761086,134.755",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf
2017,NEW ZEALAND,"-41.5000831,172.8344077",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21-Lomas.pdf
2017,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.18-Iribam.pdf
2017,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.09-Milan.pdf
2017,USA,"39.7837304,-100.445882",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.05-Hawaii.pdf
2017,SOUTH AFRICA,"-28.8166236,24.991639",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.01-Fick.pdf
2017,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.b-White.pdf
2017,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.a-Vissers.pdf
2017,USA,"39.7837304,-100.445882",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.b-Behrend.pdf
2017,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.a-FortWorth.pdf
2017,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.20-Inniss.pdf
2017,SPAIN,"39.3260685,-4.8379791",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.b-GrandCanary.pdf
2017,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.a-Volusia.pdf
2017,SOUTH AFRICA,"-28.8166236,24.991639",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.b-Love.pdf
2017,SAMOA,"-13.7693895,-172.12005",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.a-Samoa.pdf
2017,AUSTRALIA,"-24.7761086,134.755",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.14-EsperanceBoats.pdf
2017,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.13-Loyd.pdf
2017,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.b-Samson.pdf
2017,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.a-McGrath.pdf
